Gemeente,Gebundelde uitkering Budget Definitief,Lasten Definitief,Baten Definitief,Participatiebudget Budget Voorlopig,Participatiebudget w.v. Educatiemiddelen Voorlopig,Bbz Budget Definitief,Best. levensonderhoud,Best. kapitaal,Best. onderzoek,Best. Bob,Best. Bob uitvoeringskosten,Baten levensonderhoud,Baten kapitaal,Baten Bob
Breda,64853189,67463890,1157184,6488741,473642,35110,9538,116450,66085,0,0,18008,247360,0
Deurne,5006920,5324095,87891,576029,61382,22458,8515,0,9079,0,0,246,212621,0
Pekela,5959964,6862170,142236,827661,59319,25198,86178,0,58873,0,0,28646,30824,0
Dongen,4097512,3727439,73432,315967,41500,5024,28286,0,4044,0,0,68074,9430,0
Eersel,1347453,1629274,22762,154726,27853,177,26576,0,16491,0,0,10596,83182,0
Eindhoven,100682759,93353630,1410988,11596623,821817,245616,1101805,593298,0,0,0,335891,568470,0
Etten-Leur,8605251,8921831,184164,929093,85906,4135,18110,28525,38259,0,0,0,39295,0
Geertruidenberg,3727255,4324959,83536,420422,34416,4849,35251,29700,12545,31157,4835,31138,35458,0
Gilze en Rijen,4802311,5388912,35541,401104,53381,11379,75045,133554,8434,0,0,6758,44030,0
Goirle,3197234,3900550,86079,287459,32527,534,59055,142711,19135,0,0,4345,52822,0
Grave,1708057,2007340,43927,164044,27544,2252,1561,0,2542,0,0,2553,2498,0
Haaren,927724,1263103,14410,99347,23322,17643,5177,189000,15782,0,0,4389,76223,0
Helmond,37014523,37642301,672537,4884557,317346,55570,192507,101300,48214,0,0,87397,147699,0
's-Hertogenbosch,54992513,54608708,984917,6096519,492320,27178,266444,134141,266558,0,0,52105,81756,0
Heusden,7567428,8253843,93732,724588,107018,29611,49183,56000,30383,0,0,13702,62093,0
Hilvarenbeek,1157161,1426776,11375,101928,16951,0,42763,0,8686,0,0,0,18062,0
Loon op Zand,3162986,3697990,50903,287013,40872,4478,49720,40800,25650,0,0,9238,10184,0
Mill en Sint Hubert,1242335,1286339,12200,112943,20503,0,5906,0,9097,0,0,169,30494,0
"Nuenen, Gerwen en Nederwetten",4856689,5233382,57488,379529,45864,11503,13799,0,5084,0,0,705,69713,0
Oirschot,1367132,1535681,19369,188800,64924,3244,6427,227800,25880,0,0,3400,111669,0
Oisterwijk,3486686,3889298,57251,312338,38848,7702,31768,40000,14194,0,0,19228,96435,0
Oosterhout,14061741,14302136,262344,1613338,135134,11872,204598,183000,124885,0,0,43969,157028,0
Oss,19946686,19775041,636210,2369854,236540,21321,29924,97450,120389,0,0,34836,89511,0
Rucphen,4082459,4246129,106035,458620,50254,4942,48076,8000,25061,0,0,285,45090,0
Schijndel,2950195,3422961,53248,250168,33323,7199,24903,0,27268,0,0,5103,42919,0
Sint-Michielsgestel,2727726,3101087,41624,236642,58673,3176,20313,33700,33854,0,0,3060,43948,0
Sint-Oedenrode,1500493,1608213,21866,128135,27056,4623,9460,19087,12513,0,0,75,481,0
Someren,2815184,2942266,65926,265042,47261,4128,14190,40000,12710,0,0,3014,59338,0
Son en Breugel,2562654,2737109,45798,198916,21094,2659,12848,27900,16339,0,0,246,39126,0
Steenbergen,3704324,4720618,145813,384818,40002,1274,43776,0,32618,0,0,822,8491,0
