Gemeente,Gebundelde uitkering Budget Definitief,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Voorlopig,w.v. besteding bij ROCs Voorlopig,w.v. besteding bij ROCs Baten Voorlopig,w.v. bij ROC Voorlopig,Bbz Budget Definitief
Ubbergen,1681196,1981586,165972,288006,50601,307158,50601,0,0,19045
Voorst,2545678,2684235,62103,450078,131268,604908,130282,2896,0,28314
Wageningen,8607373,8404319,380327,2055503,199354,1891044,197856,51330,0,17546
Westervoort,4024146,4286364,111537,663567,107831,712026,107831,48459,0,8618
Winterswijk,6394543,6963592,301473,1048011,175213,1680094,175213,141768,0,72666
Wijchen,6989043,7652678,157444,1250376,220368,1453933,262708,2763,0,29881
Zaltbommel,3227470,3229468,114625,551812,178315,581521,178315,456,0,164312
Zevenaar,6204672,6689912,179629,1111227,200445,1133674,200455,22447,0,37248
Zutphen,14971359,15877743,805560,2868198,279102,3681690,279102,52343,0,103808
Nunspeet,2421784,2736716,40951,462681,159761,558149,159761,34670,0,51002
Dronten,8022218,8043072,116276,1667700,232837,1936330,231088,0,0,104986
Neerijnen,940486,1128865,38892,206254,88926,69176,0,768,0,36022
Amersfoort,39287747,38304070,1158916,6914532,844555,9913472,846417,131797,0,171777
Baarn,4085802,3958155,161708,565086,124318,667262,124318,0,0,10707
De Bilt,5229789,6026481,280005,1014698,186232,1209224,186232,615,0,11713
Bunnik,997677,1071632,50473,194284,52312,124951,52312,0,0,5084
Bunschoten,1512525,1526811,107242,344925,129860,329669,129860,0,0,9184
Eemnes,745288,904694,23819,134395,42230,192905,42230,2140,0,9708
Houten,4533743,4766215,253486,696106,216043,798730,200511,29250,0,60442
Leusden,2038284,2504378,79179,403793,123453,527521,122526,0,0,11268
Lopik,886734,1149020,26516,219730,82789,249208,82167,2520,0,10544
Montfoort,989448,1106190,26452,195097,67196,307785,66691,6297,0,0
Renswoude,339399,376607,0,54910,28214,25535,5120,0,0,4452
Rhenen,2781567,3049548,408683,422774,114126,963514,113268,0,0,72837
Soest,8095129,8170060,199937,1597513,261944,2276200,261944,79134,0,34842
Utrecht,115074709,114696708,5299116,22094891,2075772,24593379,2075772,224042,0,281326
Veenendaal,14468822,15107839,528717,3329147,387839,5578147,419195,65432,65432,49550
Woudenberg,678597,649582,9336,165219,56100,196618,68517,0,0,5754
Wijk bij Duurstede,2501918,2637327,65407,398009,121259,390394,118905,0,0,3731
IJsselstein,4618088,4820151,101401,1134093,201657,1146414,207628,0,0,26785
Zeist,13663782,13598304,519235,2599329,351071,2846348,363873,0,0,34700
Nieuwegein,13858051,13359779,527835,2511493,414359,2635040,387541,31571,0,22165
Aalsmeer,2375811,2053952,43204,439626,210941,436386,148652,1821,0,5410
Alkmaar,24183946,25934265,1197351,4968593,613263,4145645,608656,57002,0,41917
