Gemeente,Gebundelde uitkering,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Lasten Definitief,,Participatiebudget Baten Definitief,w.v. bij ROC Definitief,Bbz Budget Definitief,Bbz Lasten Voorlopig,Bbz Baten Voorlopig,Rijksvergoeding Voorlopig
Onderbanken,1524419.31400711,1882201,117115,677949.267517356,65219.9546451871,728045,88766,0,0,6270.3480807166,10810,16054,-2989.8
Landgraaf,11719427.3937186,14613759,496233,4677881.9037479,368781.603746335,5453549,502040,0,0,8669.4860176697,129158,34293,76145.7
Beek,2579981.00451951,3219892,67876,1044220.99341669,137741.893695739,920384,137742,1080,0,8122.6350632269,68962,7592,53248.95
Beesel,2219568.44895217,2716737,52944,866764.804549468,131288.209442281,886340,169561,0,0,9791.9012149131,31632,5538,21383.85
Bergen (L.),1277160.71525148,1618912,35512,557427.91824245,125276.484697492,497354,125276,675,0,19141.1690579584,498793,167511,254458.65
Brunssum,10662484.5059671,12844256,307718,3975232.16664644,323936.079937434,4374637,337038,0,0,7516.2790533813,68156,43197,23594.7
Eijsden,1019616.39373249,1301088,56039.85,481921.890918424,76932.9165140678,483620,76933,0,0,3476.0055449466,37453,7521,23740.65
Gennep,2214074.32940365,2726820,47958,905166.664866517,147751.387220884,812157,147751,0,0,44078.1736417186,144411,48275,76307.4
Heerlen,45804356.994878,59182873,893516,21470573.4736977,997365.627634416,24812874,1357366,0,0,86864.8870745352,591483,157907,341972.1
Kerkrade,19520862.8345857,26700061,1077426,8485769.84180289,536516.459821738,8980615,730208,0,0,95750.8744064335,380220,121905,209953.05
Maastricht,43817946.9462298,46879169,1804276,19137127.6364597,1119768.84816226,20236243,1119769,0,0,85864.2211752415,828310,218584,484446
Margraten,1210411.14984567,1384437,59969.84,478952.799294472,94504.4527534949,480171,94504,0,0,12958.107905608,24459,4537,17264.85
Meerssen,2782432.64695999,2881667,100670.53,1195157.43072122,157393.679188229,1168501,157394,0,0,40595.5885417217,133639,60722,59454.75
Mook en Middelaar,773220.67519564,922906,27399,311381.683042044,45310.7814018498,202152,45311,1215,0,2781.1421313908,104327,58365,36423.75
Nederweert,1094337.89063377,1364480,26789,415181.316618528,136617.22242644,338390,136617,0,0,13222.1435227106,63570,82248,-10121.85
Nuth,2013601.73640257,2746189,42660,843188.959870999,131509.868383234,964512,178902,0,0,6521.5274124279,97080,18017,67135.05
Roermond,18274000.5696097,20503521,524239,8857020.3248166,595438.342335421,9586649,595438,544545,0,25488.3153202873,542287,62443,378689.85
Schinnen,1972718.58858263,2430953,16326,845357.024758458,107573.70535327,930307,107574,0,0,22167.6863807966,38070,13892,21208.8
Simpelveld,1379286.78992583,1550517,46364,633802.380248968,101977.420688295,713529,138743,0,0,15607.7139950307,49053,18819,25810.2
Stein,3159063.84258501,3573896,90367,1353692.03776128,245622.129123301,1863884,245622,3816,0,10030.7886163736,108046,86387,21597.9
Vaals,3795913.60446601,4372107,75506.11,1244693.75132562,86821.6155584139,2259562,86822,0,0,8179.4605787765,60721,13577,37071.75
Venlo,29301875.2013441,35155214,891564,13442203.4074326,1097705.35753058,17518602,2065055,0,0,35022.1318824634,1171937,221405,730760.4
Venray,7180028.59853449,8189289,238610,3029192.07867081,370776.846648417,3145459,370777,38537,0,54468.9336607923,324744,189887,107373.45
Voerendaal,1432278.23817067,1796548,32143,578650.428313984,97444.948722343,667197,132233,0,0,2051.8668190364,132800,51261,65964.3
Weert,9994276.39219276,12297330,311028,4525718.64633506,443522.630385994,4833052,443523,23622,0,179701.500360265,713994,296609,330891.45
Valkenburg aan de Geul,3297635.32113165,4005841,171957,1280554.47732401,138295.312853224,1308598,138295,3694,0,39816.2507989949,188713,49038,112637.25
Lelystad,20141618.7246588,24175636,958854,11066368.6087545,760490.978706387,14985155,785000,1956365,0,119183.198068082,1441707,192646,968732.85
Horst aan de Maas,3058197.16104448,3959488,52058,1073519.84516419,338313.010773345,1504059,338313,72803,0,260835.695927551,932945,559644,297848.25
Oude IJsselstreek,4859758.50285137,5136035,185943,2087240.3132217,373726.565965288,2688655,373727,317287,0,31108.9208691529,231046,114702,94598.4
Teylingen,1748553.47824708,2486893,44573,773898.34038597,242742.597145906,620810,242743,0,0,5748.4939295611,59854,44784,15181.5
Utrechtse Heuvelrug,4488222.92734667,5300895,255921,2065760.85638458,328311.404237375,2017380,328311,1080,0,15856.9662604094,124226,10568,90963.3
