Gemeente,WWB I-deel Budget Definitief,WWB I-deel W.v. budget 65- Definitief,WWB I-deel W.v. budget 65+ Definitief,WWB I-deel Uitgaven Definitief,WWB I-deel W.v. uitgaven 65- Definitief,WWB I-deel W.v. uitgaven 65+ Definitief,WWB I-deel Ontvangsten Definitief,WWB I-deel W.v. ontvangsten 65- Definitief,WWB I-deel W.v. ontvangsten 65+ Definitief,WWB W-deel Budget Definitief,WWB W-deel Beschikbaar budget Definitief,WWB W-deel Uitgaven Definitief,WWB W-deel Ontvangsten Definitief,WWB W-deel Meeneemregeling Definitief,IOAW Budget Definitief,IOAW Uitgaven Definitief,IOAW Ontvangsten Definitief,IOAW Rijksvergoeding Definitief,IOAZ Budget Definitief,IOAZ Uitgaven Definitief,IOAZ Ontvangsten Definitief,IOAZ Rijksvergoeding Definitief,Bbz Budget Definitief,Bbz Uitgaven Definitief,Bbz Ontvangsten Definitief,Bbz Rijksvergoeding Definitief
Oostzaan,580525,559449.139367411,21075.8093050429,558364,542153,16211,34831,34573,258,133490,194387,66206,957,100117.5,4415,27174,0,20381.25,18195,17243,0,12932.25,0,9177,3534,4232
Opmeer,686519,686518.687770964,0,665631,665631,0,60883,60883,0,195985,226953,201736,8278,33495,65401,126143,0,94608,12804,49318,0,36988.5,7439,132944,43710,68097
Ouder-Amstel,1353454,1272291.01221189,81163.2084161165,1389952,1343883,46069,20627,20200,427,234327,293693,133639,4216,164270,20874,41744,543,31308.75,0,11807,0,8184,5122,17867,15088,2474
Purmerend,16319537,15673832.4527708,645704.104979336,16187850,15576174,611676,590328,566806,23522,4812306,5675785,3191738,0,2484047,192424,538675,22062,404006.25,53023,183325,37,134808,25021,189888,121424,63030
Schagen,2776667,2718774.994839,57891.7799898014,3052028,2978926,73102,86659,86659,0,667959,860779,630975,0,229804,124192,304683,805,228513,11117,25404,0,19053,5508,20625,27664,-3206
Texel,1213984,1200241.88088578,13741.9612316805,1417661,1398275,19386,80904,80904,0,481209,448787,304344,1760,146203,30131,76624,0,57468.75,16221,25751,0,19313.25,1474,25581,4079,18616
Uitgeest,752587,743761.545911079,8825.1616684914,791783,775205,16578,48394,46853,1541,123494,164536,86489,4069,82116,128561,234516,0,175887.75,8068,44044,0,33033,1827,2165,2274,-82
Uithoorn,2341645,2203208.0504119,138437.387158561,2387490,2264657,122833,173206,169059,4147,350471,484959,246075,0,238884,53214,114605,0,85953.75,9125,44106,0,33078.75,1232,16085,3,13131
Velsen,10498862,10245786.8575575,253075.1167462,11951749,11682823,268926,510916,468592,42324,2097917,2497245,1614053,64590,947782,579833,952228,8187,714171.75,35139,130187,2472,97640.25,9873,61325,29757,24288
Venhuizen,545989,542175.646138456,3813.6543546277,561123,554019,7104,11411,11411,0,120334,172709,107399,0,65310,42141,61712,0,46284.75,4869,20615,0,14662.5,3234,2604,12117,-6744
Weesp,3547474,3329073.54284246,218400.074791479,3599773,3347925,251848,79580,75403,4177,984188,1148615,983467,0,165148,49151,198272,0,148704.75,804,0,0,0,3603,91209,0,71353
Schermer,240498,240497.955578833,0,292153,292153,0,2569,2569,0,78406,105423,87567,2728,20584,25022,53426,0,40070.25,1477,13326,0,9994.5,1431,3980,426,2896
Wervershoof,576857,535683.324205303,41173.8611277696,542050,491810,50240,27610,25276,2334,174611,222745,164713,0,58032,65233,132470,0,99352.5,16428,71959,2503,52884,16225,3280,53303,-37025
Wieringen,1037621,1023505.53116234,14115.4565864534,1010026,998434,11592,16221,16221,0,293226,356091,294412,0,61679,30519,40852,493,30639.75,1784,0,0,0,757,4814,15328,-7494
Wieringermeer,1075434,1064864.13113453,10569.9185400734,1224817,1216563,8254,57368,57368,0,253219,298140,283623,0,14517,50800,103707,1710,77781,7696,0,0,0,0,102615,307977,-149291
Wognum,406463,399930.924014158,6532.166972582,348857,344644,4213,35224,35224,0,554774,585665,463495,5173,127343,42223,126096,1082,94572.75,17995,63162,0,47371.5,0,1574,66983,-49057
Zandvoort,3693011,3588610.08320956,104401.289042898,3983096,3872754,110342,227938,224274,3664,692967,911490,466015,0,445475,77616,234982,13699,176237.25,13876,47995,1113,35996.25,9190,30051,52896,-14666
Zijpe,1099354,1098585.58789641,768.3333012471,1107904,1105140,2764,24365,24365,0,264910,307899,304254,0,3645,37363,165181,3050,123886.5,6235,34510,0,24784.5,0,63233,51656,9851
Zeevang,209571,209570.809299385,0,269623,269623,0,18940,18940,0,65558,93068,36017,0,49168.5,3059,23433,0,17575.5,0,2319,0,1739.25,1840,24478,21144,3589
Zaanstad,34703680,33537311.8368233,1166368.63474061,35230148,34091288,1138860,1410676,1388871,21805,8936212,10916695,8397084,109157,2628768,509671,1298943,8481,974208,101950,208194,289,155346.75,43148,402039,135881,213751
Alblasserdam,2971991,2865411.23097364,106579.567308413,2884414,2804052,80362,64880,59414,5466,765730,842927,972095,45800,-83368,165775,426934,302,320201.25,13528,25960,481,19470,0,5208,1000,3937
Alkemade,976724,961740.330234469,14983.8332863005,785802,744928,40874,22953,20086,2867,204975,270591,107352,201,153731.25,26910,95679,1477,71760,29093,34485,0,25863.75,0,138491,108686,23328
Alphen aan den Rijn,10285210,9725460.96383692,559749.484726276,10308789,9729345,579444,512802,461400,51402,3006257,3484141,2185471,102690,1401360,219859,533117,3227,399838.5,11174,37976,5477,28482,68155,518920,121507,310424
Barendrecht,1731077,1699636.79400736,31440.3053999912,1806692,1770648,36044,80158,68566,11592,768521,845530,656007,0,189523,146742,432734,4286,324551.25,36958,52865,0,37635,12052,75527,101953,-18216
Bergambacht,400233,396477.617309261,3754.9622274491,408003,385300,22703,797,797,0,246678,271204,192779,2831,81256,10649,94938,0,71204.25,13437,0,0,0,11894,41100,13138,22038
Bergschenhoek,1122674,1107221.48992918,15452.0363917479,1063567,1054231,9336,39148,39148,0,155950,199124,120257,3245,82112,37490,137345,173,103009.5,9164,14898,0,11173.5,9364,113546,7502,80688
Berkel en Rodenrijs,1543690,1497947.22278976,45742.5096638311,1716521,1636091,80430,118935,118395,540,245254,339438,41544,17792,183940.5,19687,127470,0,95603.25,32535,33349,0,19776,0,156827,127207,22738
Bleiswijk,1002966,983821.460148849,19144.3047560744,891492,879855,11637,24444,22736,1708,142598,183005,142942,78985,106948.5,24242,58416,0,43812.75,14181,33378,0,25033.5,2498,205208,89179,87804
Bodegraven,1605076,1526047.40661996,79028.9492459856,1763848,1684209,79639,85800,83511,2289,373359,418787,247959,0,170828,53693,272349,5001,102813,4856,23735,0,17801.25,25921,109774,124748,-7890
Drechterland,805856,805856.391073608,0,503546,498253,5293,8867,8867,0,291181,325624,228162,5195,102657,35964,61153,712,45865.5,12928,38669,810,28631.25,6469,8019,25159,-12279
Boskoop,1508263,1475311.04975082,32951.6276748402,1724611,1704230,20381,76484,73565,2919,333308,443811,120180,255,249981,56984,125357,0,94018.5,21393,16168,2762,12126,8854,84416,36567,37792
Brielle,1769884,1737354.91740327,32528.777576758,1572925,1539485,33440,87787,87787,0,544312,567680,422947,0,144733,140280,175224,0,131418.75,23952,54063,0,40547.25,11989,104922,77132,22908
Capelle aan den IJssel,22708855,21826303.9569505,882550.848560654,23924983,22966973,958010,1008857,923650,85207,4839510,5058033,4526534,78138,609637,252217,1015064,2949,761298.75,19045,91827,0,67527.75,16720,129869,39702,72548
