Gemeente,Gebundelde uitkering Budget Definitief,Gebundelde uitkering Lasten Definitief,Gebundelde uitkering Baten Definitief,Participatiebudget Budget Definitief,Participatiebudget w.v. Educatiemiddelen Definitief,,w.v. besteding bij ROC Definitief,Participatiebudget Baten Definitief,w.v. bij ROC Definitief,Bbz Budget Definitief
"Nuenen, Gerwen en Nederwetten",3342155.91650511,4196210,68578,859853.32908082,118578,681416,50198,10718,0,17880.3795166118
Oirschot,904959.086220608,1165630,16909,389197.446393158,100795,349161,100795,0,0,53790.1250773048
Oisterwijk,2199270.97922512,2850053,89906,774910.886686339,149991,850349,149991,36922,0,45010.3967335686
Oosterhout,8660309.52142075,11175198,296792,3228267.33175012,361085,3136961,359536,0,0,57613.3510779178
Oss,13534454.7699326,16435928,348125,5617220.63727748,623782,6223314,623782,60624,0,23349.1264075114
Rucphen,3288836.5283952,3880968,168102,926889.103582177,190907,778982,190907,741,0,23258.0663177706
Schijndel,1801345.08671583,2488819,69741,658050.729655092,159411,1000362,158061,41372,0,5302.2314764008
Sint-Michielsgestel,1954699.18707759,2175958,78916,685556.598735276,144443,837862,144843,37225,0,4225.308928541
Sint-Oedenrode,1053918.73036402,1286109,15402,407734.006649354,98104,344617,98104,0,0,12452.2690018644
Someren,2040068.28653627,2608445,44731,589395.406648887,111968,592258,111968,0,0,67164.2918711228
Son en Breugel,1747449.93340368,2071449,35036,499778.180070079,64899,497331,52054,1062,0,12053.0970407799
Steenbergen,2695546.92574194,3044784,96229,813081.762564899,164868,985030,164868,2964,0,10815.9316261707
Waterland,1211988.87361045,1355684,73471,398518.884787765,86089,383007,86089,3240,0,7837.5123637066
Tilburg,67843779.5253464,78155324,2580293,27905010.8495706,1549359,28479755,1901440,342030,107124,247976.54601185
Uden,6831316.23655577,6872254,102920,2326121.19610074,271858,2449056,271858,2980,0,60248.2582282917
Valkenswaard,5426088.86644506,6401705,101592,1925875.16768374,207097,1826061,155393,9191,0,12665.0264314523
Veghel,3355941.29125952,3906000,76918,1494385.43526109,275590,1767731,275590,68995,0,1913.6317513063
