Gemeente,WWB Budget Definitief,,W.v. budget 65+ Definitief,Uitgaven Definitief,W.v. uitgaven 65- Definitief,W.v. uitgaven 65+ Definitief,WWB Budget Ontvangsten Definitief,W.v. ontvangsten 65- Definitief,W.v. ontvangsten 65+ Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Beschikbaar Voorlopig,Participatiebudget Lasten Definitief,w.v. besteding bij ROCs Definitief,Participatiebudget Baten Definitief,w.v. bij ROCs Definitief,Reserveringsregeling Voorlopig,IOAW Budget Definitief,,IOAW Ontvangsten Definitief,IOAW Rijksvergoeding Voorlopig,IOAZ Budget Definitief,IOAZ Uitgaven Definitief,IOAZ Ontvangsten Definitief,IOAZ Rijksvergoeding Voorlopig,Bbz Budget Definitief,Bbz Uitgaven Voorlopig,Bbz Ontvangsten Voorlopig,Bbz Rijksvergoeding Voorlopig
Dirksland,482037,395065.063238434,47284.7731380233,532080,483273,48807,43360,43360,0,300140.235058498,101769.647811712,359583.430850072,171389,100045,0,0,75035.0587646244,36693,27598,510,20316,7805,18668,0,14001,29230,0,34138,-25603.5
Dordrecht,42456273,40076739.9208041,2462486.06943683,44773899,42526068,2247831,2122550,2010904,111646,20473433,,35880291.4009689,27228763,0,59170,0,6397947.8125,296435,589155,20496,426494.25,85436,198798,1835,147722.25,327520,1071372,514053,413784.75
Goedereede,657675,624782.065146983,34178.812526756,722800,694714,28086,13842,13725,117,368133.261495147,135294.600842514,467811.363012698,285024,131144,2639,0,92033.3153737868,34746,54055,0,40541.25,982,0,0,0,16419,191180,23376,126330
Gorinchem,6348791,6039007.5615921,322187.389949229,6634914,6269260,365654,325359,258805,66554,3904696.68020472,530937.716752298,5781771.26501733,5247982,530938,0,0,492689.265017332,60219,113777,1850,83945.25,10183,50333,446,37415.25,5718,70287,18211,41811
Gouda,17003910,16004897.9656728,1032235.06166717,16451329,15417254,1034075,620498,620498,0,8585641.71523941,859768.788334559,11755970.6508291,11191255,859769,0,0,-171647.34917086,104878,447382,204,335383.5,42996,57429,1477,41964,5949,97423,76121,20042.55
's-Gravenhage,257129105,240187382.539397,17444113.6062948,255391032,237529430,17861602,9061156,9048848,12308,103634541,,119103101.230003,118274948,0,6027840,0,4521980.23000324,810797,2829558,66121,2072577.75,234015,875380,8461,650189.25,459234,4333288,826587,2749449
Hardinxveld-Giessendam,717442,520747.306821761,41760.0917404535,889206,864895,24311,50135,44698,5437,484486.872578528,200244.878455067,603393.039891587,552273,161461,0,0,7107.0398915873,11908,26688,982,19279.5,1600,0,0,0,0,24129,11247,11617.35
Hellevoetsluis,8867525,8381525.05453418,503325.637931268,7909571,7551378,358193,338228,338228,0,4042644.42312787,475859.769640112,6490105.19603366,4368219,482953,12000,0,1010661.10578197,169270,330692,2462,246172.5,13809,39343,0,29507.25,23208,615980,137144,366953.85
Hendrik-Ido-Ambacht,1271908,1107188.67367588,76887.1704772402,1769930,1659491,110439,72039,69032,3007,900628.32631294,244273.441679527,1155319.98815432,745076,240977,3937,0,225157.081578235,14990,62916,2844,45054,4834,19034,0,14275.5,1259,181492,27827,115248.75
Stede Broec,1919518,1734565.3932249,40632.3582681665,1673996,1636888,37108,74466,74466,0,1165997.64005975,249278.348962148,1754196.93621646,1043527,226975,0,0,291499.410014938,41149,68483,0,51362.25,19048,52927,22150,23082.75,7025,90149,50078,33783
Hillegom,1409811,1323678.05031444,88551.3299072716,1904900,1827774,77126,65581,65481,100,732834.736107232,243825.857762841,743341.778099901,780847,243826,0,0,-37505.2219000992,32098,53759,894,39648.75,4063,1514,0,1135.5,1553,98016,5242,71532.9
Katwijk,6190265,5948478.14598462,253881.907411102,6030500,5772789,257711,227667,225117,2550,2488228.29708606,768744.383945804,3400008.27275784,1882866,768744,4850,0,622057.074271514,84452,206332,0,154749,8716,624,0,468,461,105437,21985,66146.25
Krimpen aan den IJssel,3515528,3277550.7615782,244846.7008498,3665132,3395784,269348,108816,97143,11673,1510106.41571108,313643.377976952,2106625.19630849,1387069,232415,23283,0,377526.603927771,38456,142304,464,106380,8383,4480,0,3360,2720,3924,18542,-10963.5
Leerdam,2493043,2346967.5089331,150946.518957305,2911032,2785008,126024,145109,137096,8013,1557684.57505544,295050.004613306,1869610.48874657,1782751,265649,0,0,39079.4887465655,32831,110230,139,82568.25,10474,50578,420,37618.5,2906,25687,266,19806.45
Leiden,34530553,32898170.9186475,1699848.42679457,37945792,36068602,1877190,1674817,1656688,18129,12455576,,22255029.0926173,16498514,0,0,0,3075265.09261728,154819,542250,15225,395268.75,33014,82580,288,61719,16865,360047,119526,190306.8
Leiderdorp,2830659,2634657.6112591,201533.247197519,3304802,3023971,280831,116018,115111,907,1293260.36005883,249110.441042039,1744924.52401383,1420945,249110,91,0,73820.524013829,14924,49908,96,37359,14146,29804,0,22353,7890,66323,10219,43084.5
Lisse,1184919,1134349.34331457,52884.6367670788,1572061,1494559,77502,52864,52414,450,626140.519798336,225667.418298131,556845.459423924,380948,0,0,0,-49769.5405760759,24179,69021,2435,49939.5,6094,29320,0,21990,19415,59352,3086,43582.35
Maassluis,7992800,7404242.37409823,604175.325769653,8643285,8087939,555346,234734,232030,2704,4116603.65903262,466642.634339901,5764189.28753423,5112821,466644,51784,0,405469.287534235,125595,186366,23461,122178.75,7639,59604,0,44703,9525,25943,33573,-2018.25
Middelharnis,908948,854229.972789991,56493.3838783974,1158967,1094645,64322,41399,41399,0,660507.765846147,188417.845128534,1027893.89520646,611479,188594,11462,0,165126.941461537,88752,28367,3129,18928.5,16731,38030,0,28522.5,7409,33264,5880,22423.65
Moordrecht,765538,665076.205810879,101958.019444482,792675,750293,42382,37689,35647,2042,442252.339017045,100737.925851347,448736.202052927,447753,100738,0,0,-5087.797947073,18387,0,500,-375,247,0,0,0,792,425,1960,-1087.5
Nieuwerkerk aan den IJssel,2248976,2160816.9590245,92552.9648089354,2571140,2425658,145482,27629,26790,839,1095044.72191907,211171.14307461,1029075.37428474,1278133,211171,24624,0,-273761.180479767,40612,42458,0,31843.5,8968,13589,0,10191.75,11834,52970,25893,22305.75
Bernisse,569205,565073.705133883,0,623479,620442,3037,22602,22602,0,412765.78172013,127633.680632408,594408.996738968,473952,123656,3386,0,103191.445430033,43699,156235,12747,107616,0,16447,0,12335.25,5971,20543,9758,8514
Nieuwkoop,1165018,1083284.99392618,65244.8381466724,1557126,1489871,67255,49206,49206,0,818304.009784941,286936.085716576,1139226.62816082,896554,286936,2069,0,204576.002446235,3493,46131,0,34598.25,5582,30676,0,23007,7763,80310,32673,37409.1
Nieuw-Lekkerland,664739,643947.060496288,22091.4498904577,819837,792676,27161,25220,24404,816,342507.281269873,109882.947799045,484550.56084369,313296,109883,4143,0,85626.8203174682,15762,89132,145,66740.25,0,0,0,0,0,23306,1223,16637.25
Noordwijk,1889316,1793424.96560144,99582.5034528581,2361035,2297033,64002,76103,75846,257,832372.282804962,276987.331054723,1148820.51325909,1134134,268352,0,0,6051.5132590926,31729,39441,150,29468.25,21085,75114,801,55734.75,14387,43788,14471,24451.05
Noordwijkerhout,775114,714529.980289616,62098.0979740004,1124410,1065636,58774,89438,84057,5381,422291.004211661,168436.991633618,347637.991349601,388087,168437,0,0,-40449.0086503988,4242,18033,0,13524.75,4063,0,0,0,18638,28084,5680,18078.75
Oegstgeest,1626566,1548230.01429145,81514.5155635278,2048354,1966950,81404,54205,49763,4442,761225.302807901,164663.286466622,1036999.29220737,500599,164663,0,0,190306.325701975,10556,25325,0,18993.75,0,0,0,0,4757,4945,10295,-3355.5
Oostflakkee,682511,653000.4141247,0,691471,691471,0,25439,25439,0,407517.103505203,109561.369446722,625259.293695572,371951,109561,0,0,101879.275876301,31932,86063,0,64547.25,15604,24930,0,18697.5,34751,71728,35511,30339
Oud-Beijerland,1826886,1771350.47694746,39555.5546946279,2070350,2036329,34021,54347,53769,578,1047285.88482819,252444.878126685,1539457.3146413,1362667,253559,23693,17919,161403.314641298,44667,105749,0,79311.75,3938,17869,0,13401.75,20153,83046,18408,51974.55
Binnenmaas,1474417,1462776.856757,14521.084226492,1840400,1816386,24014,35664,35664,0,954358.924247478,290747.752279695,1215835.32354803,1227975,290748,31677,0,-852.6764519732,58211,138187,1497,102517.5,20184,42300,0,31725,25353,208132,75420,102573.6
Korendijk,578390,437512.966593137,12731.2620704751,502623,494189,8434,17026,16509,517,357952.509819644,110967.628949467,518920.500297991,520058,110968,23711,0,10386.500297991,19308,72168,0,54126,8697,35871,0,26903.25,0,13367,3150,8088
Oudewater,396833,354568.835525328,43039.4022923491,538050,509202,28848,14146,14146,0,291570.457530856,104941.114832737,418935.55859678,122235,104941,0,0,72892.6143827141,3036,7184,181,5252.25,0,14676,0,11007,1170,21986,6077,11931.75
Papendrecht,3686009,3511204.58483489,182005.2688774,4353823,4166388,187435,132183,131497,686,1886081.92764551,349087.531696944,1012645.63625724,340848,340848,0,0,471520.481911377,47963,115753,0,86814.75,6356,8254,0,6190.5,5874,300922,28376,204409.5
Reeuwijk,543829,505477.642312646,39414.8911647512,622102,595986,26116,112830,112830,0,370531.959827298,135874.724093441,412197.677569378,329808,135875,0,0,73526.6775693778,144,3414,0,2560.5,6784,14214,0,10660.5,2303,34263,53526,-13742.25
Ridderkerk,7223083,7021613.3602445,215582.623552269,6479919,6215569,264350,122958,118016,4942,3378445.0670319,618331.17193375,4692779.36459334,3046773,618331,0,0,844611.266757975,141238,253456,4676,186585,20259,50570,0,37927.5,16521,84477,18779,51912.45
Rotterdam,418106606,394839242.870898,24084279.8355025,458445940,433222479,25223461,18313483,17868052,445431,198520639,,345974595.725117,293505589,0,4310546,0,62037700,2053560,5806059,144085,4246480.5,219397,795682,2709,594729.75,367434,3421250,830410,2051581.1
Rozenburg,1689261,1640037.35413582,52524.4896259291,,1879083,63948,,90160,6575,924773.626960249,173618.980998963,1389670.30714672,,,,,,81986,178464.593345507,,133848.44500913,2967,10561.7394071884,,7921.3045553913,10401,69843.2143959253,0,52382.410796944
Rijswijk,14146825,13518820.9372415,655644.838921507,13401206,12652968,748238,314859,310385,4474,6009425.12760008,592383.73505316,9262682.06696434,5221352,473911,45184,0,1502356.28190002,85925,361484,10888,262947,18808,77816,0,58362,116404,610351,197766,312822
Schiedam,31201435,28158363.1384049,3104034.23995475,29329626,28181063,1148563,1225252,1225252,0,12191918,,21341792.9622692,17090232,0,89027,0,3809974.375,179418,375449,14904,270408.75,37781,101212,0,75909,38743,237780,44437,152988.45
Schoonhoven,1632404,1588378.26246327,47214.441373085,1764879,1702512,62367,177156,125272,51884,793854.257424085,142458.116076446,1043145.11664595,937173,142459,0,0,105972.116645952,34779,56140,0,42105,245,0,0,0,19502,98003,35351,47346.3
Sliedrecht,2763877,2632430.79857241,90729.1893870862,3426803,3334128,92675,203184,201674,1510,1602955.9574241,284538.066501668,2515856.10720076,1888282,277534,4045,0,400738.989356026,46736,72480,911,53676.75,3989,14660,0,10995,8098,97749,52550,33899.25
Cromstrijen,697794,618712.762224203,30491.245334041,806994,789146,17848,91018,89442,1576,455675.894079629,132203.214972413,674861.686153148,631746,132203,45894,0,74691.6861531483,28529,83500,3000,60375,3938,3919,0,2939.25,3575,77490,9141,52199.25
Spijkenisse,22724645,21806446.1736885,962598.126061766,21629147,20661226,967921,759211,717127,42084,11068040.3579118,1073378.3878088,16771899.9382226,12531515,1313400,56000,0,2767010.08947796,245401,357685,2523,266371.5,28637,115834,426,86556,124294,279198,115425,130573.8
Albrandswaard,2025375,1965185.55396501,64146.2074736702,2542786,2442670,100116,44263,43489,774,1049984.24697315,216337.178618874,1545988.14230398,811172,209593,0,0,262496.061743287,47061,73724,0,55293,5491,55730,0,41797.5,22057,2519,12023,-6828.15
Westvoorne,701281,589458.258918702,24226.8677879819,786938,765534,21404,67524,67171,353,491596.570503621,152650.964802253,729927.975344921,523730,156937,9522,0,122899.142625905,50315,139861,544,104487.75,10669,14661,0,10995.75,2943,30323,13452,12827.1
Strijen,455662,405980.17401502,18351.7401823574,596904,582235,14669,11610,10254,1356,340022.628803792,99883.1271284162,518971.935839479,478557,99883,2038,0,31536.935839479,5331,38633,0,28974.75,0,14661,0,10995.75,0,0,72400,-54300
Vianen,1961421,1741937.75290189,94591.3733755102,2455356,2366086,89270,212952,212352,600,998949.147341599,240035.235026312,1410397.78362057,1100741,237422,0,0,249737.2868354,49756,103847,1848,76499.25,2759,0,0,0,39915,43218,47860,-1353.3
Vlaardingen,24596741,23996686.4512885,648113.276989921,22671744,21873906,797838,862097,848661,13436,11863317.7100227,1024881.88549393,17349299.8997362,16042697,1024882,464070,0,1695629.89973623,266938,596060,5020,443280,27451,35614,0,26710.5,63522,391769,94896,227691.3
Vlist,478745,426793.699781816,45631.9766619725,598236,546828,51408,3476,910,2566,312402.921311972,100889.756045693,467124.046661304,304294,100890,0,0,78100.7303279931,19561,24450,0,18337.5,0,0,0,0,1925,571,17885,-12899.85
Voorschoten,2107079,1933140.31017292,146610.201863865,2222388,2116893,105495,39408,37760,1648,877239.263401208,211742.583469027,923054.460091571,644125,175798,0,0,218385.460091571,17152,104343,7171,72879,2600,8753,0,6564.75,0,0,1385,-1038.75
Waddinxveen,2160924,1995887.92063633,169258.242790645,1889025,1740170,148855,118304,117748,556,1224297.94431794,305673.982927924,1356171.76544888,1444434,305681,5305,0,-105016.234551121,18522,58435,1557,42658.5,11046,0,0,0,2811,433997,63347,279253.2
Wassenaar,2751221,2605986.17603432,150609.411532255,3136981,2981104,155877,49830,48536,1294,1517408.11901068,252836.279688759,2127830.89543691,1135627,67362,12829,0,379352.02975267,7130,60207,327,44910,16053,44427,0,33320.25,2488,356848,25030,251983.65
Woerden,4077601,3785884.575494,299682.437785599,4222968,3967083,255885,186257,186257,0,1883179.34942361,489648.879656714,1529413.90220709,1963366,460506,0,0,-242340,78029,160435,915,119640,9862,33554,213,25005.75,11044,183378,72206,91279.95
Zoetermeer,32360908,30241365.3284759,2182770.5771939,30517945,28364391,2153554,969080,963938,5142,13441361.1629162,1515192.45004167,19039535.6571237,15291740,1515192,59877,0,3302047.65712373,180532,641807,13613,471145.5,72397,162219,0,121664.25,148142,873313,230406,499442.7
Zoeterwoude,271336,271866.173545678,0,292548,265945,26603,32581,32581,0,237392.783365449,63791.5996445868,356689.270957188,252436,63792,0,0,59348.1958413621,6283,0,0,0,1846,0,0,0,0,0,0,0
Zwijndrecht,8640711,8257148.82004414,400444.81722613,9306351,8825742,480609,296435,293631,2804,3994696.49989828,590360.909764121,5395098.14516699,3732038,573469,9932,0,998674.124974571,109969,151134,2391,111557.25,18024,18585,0,13938.75,28769,230571,72555,118512
Nederlek,1273527,1195437.36520632,80578.3755198658,1465460,1388692,76768,132096,93959,38137,608948.309174915,166785.452635859,905166.137920623,666665,166787,0,0,152237.077293729,34779,103698,0,77773.5,12270,14664,0,10998,48360,20781,25640,-2542.35
Ouderkerk,265733,264066.575599105,2186.3477962727,396662,380515,16147,9826,9826,0,237160.610079913,102245.328622082,324571.219369945,249281,102247,0,0,59290.1525199783,14732,21738,0,16303.5,0,487,0,365.25,5075,2835,0,2551.5
Gaasterlân-Sleat,697491,579853.716599853,13644.3623980366,692186,682921,9265,32646,32646,0,454548.445085513,99473.9832575718,718911.390859077,602866,99474,3500,0,103571.390859077,16553,99875,0,74906.25,5890,0,0,0,457,121745,31570,69446.85
Borsele,1232904,1193342.20786198,41969.8744186317,1644008,1583696,60312,91392,91392,0,740863.760932443,219423.240802484,953651.15530406,917093,219423,0,0,36558.1553040603,66120,126034,586,94086,19043,49821,0,37365.75,28154,92898,71992,17076.9
Goes,6500801,6224672.32255729,288830.731502269,7378237,7035210,343027,540990,540990,0,3277670.57221087,379034.769385627,4349224.4617244,3668645,0,15049,0,37726.4617244005,48663,200744,718,150019.5,18030,27526,11116,12307.5,12233,196440,36979,127914.9
West Maas en Waal,1201359,1109249.8097643,0,1364468,1335212,29256,85912,82253,3659,744086.625201964,211018.218325288,780178.491501193,700110,211018,3273,0,81488.4915011928,40288,123795,0,92846.25,22237,41732,0,31299,32612,946253,298964,494336.7
Hulst,2611156,2503296.39663128,112962.515424057,2710050,2607449,102601,49912,39970,9942,1273602.27915134,301884.838303772,1431408.85353434,1008445,301885,0,0,-111268.146465661,66618,270327,277,202537.5,27131,138825,0,104118.75,33681,104448,32136,58730.55
Kapelle,724874,486604.800709275,52696.6811883643,720591,658529,62062,58400,58400,0,326117.427748997,109327.158456726,481481.710554082,410188,109327,0,0,71293.7105540818,15226,15051,0,11288.25,13917,33554,423,24848.25,34900,15751,27355,-7996.35
Wymbritseradiel,1060742,1049871.60666658,12944.6825985638,1366285,1354761,11524,71736,71736,0,651741.206070095,136705.187615512,952331.618691982,873288,136705,53997,0,133040.618691982,11709,139079,1139,103455,12761,89465,0,67098.75,7082,507029,64412,334283.4
Middelburg,11818126,11459873.8684461,381343.679962188,10963912,10503371,460541,361198,337527,23671,5707843.71820017,545109.807173221,6607000.7593648,5835472,545110,0,0,771528.759364798,171564,383599,4335,284448,29307,94081,0,70560.75,56352,453872,116203,262699.65
Giessenlanden,510148,478667.498609799,32477.5113852305,613274,584370,28904,46458,46458,0,367562.95847036,143050.245804731,461046.748447872,440448,126478,0,0,-6996.2515521281,16501,24251,0,18188.25,0,0,0,0,0,396,0,356.4
Graafstroom,181421,179153.920629501,0,280381,280381,0,1820,1820,0,219295.606122863,98492.5234897235,278992.281629054,231105,56665,0,0,4487.2816290544,14730,13897,0,10422.75,8464,0,0,0,0,3825,0,3442.5
Liesveld,407580,359878.91058647,11742.9795114279,443085,437537,5548,8291,8291,0,285539.181291125,104257.257635243,348840.066884173,293806,104257,0,0,59649.0668841732,20413,17475,0,13106.25,3491,12839,0,9629.25,0,500,0,450
Reimerswaal,2140919,2081295.3746282,63805.4621987103,1978983,1904988,73995,95748,78002,17746,933093.487004477,254670.140955606,822449.611313358,746862,254670,1995,0,77582.6113133582,30853,107985,0,80988.75,13043,33914,0,25435.5,6929,10657,32405,-14914.05
Zederik,581012,562041.780381204,20105.1838392682,705954,689291,16663,20930,17171,3759,379263.342137269,152326.840461893,368641.257602939,309344,96038,0,0,-14179.742397061,17351,30198,0,22648.5,1018,0,0,0,750,2214,1374,962.1
Wûnseradiel,969670,956337.377299686,15228.0397257859,1076927,1073211,3716,27352,27352,0,672209.4057667,118654.610467931,882806.605396744,792142,119958,23869,0,111381.605396744,30194,15703,6175,7146,16895,24870,0,18652.5,10518,113625,16032,76071.9
Terneuzen,11553893,11210770.9206473,365696.074880046,10278378,9903508,374870,529278,498011,31267,5991537.33493607,696741.876922249,7025305.73088568,7400388,696742,15322,0,-1309227.26911432,157289,376435,19506,267696.75,58057,195010,3915,143321.25,17498,175867,23001,119447.15
Tholen,2346756,2242308.30174141,109032.424903969,2517578,2450537,67041,86516,86516,0,1112930.40982386,289689.727365892,1525808.53458509,1373310,289690,121402,0,273900.534585094,42759,67928,1552,49782,30867,48083,0,36062.25,16555,67554,63656,5110.95
Veere,1049862,970490.116145922,18869.5274863,1229863,1215027,14836,32600,30336,2264,660296.497160058,223431.640621002,660159.405033626,358873,0,0,0,59588.4050336261,43589,180790,542,135186,3206,5077,1059,3013.5,3333,93452,27266,53713.05
Vlissingen,15779276,15158470.3383074,651634.715703386,14771307,14117940,653367,332588,310819,21769,8281857.42321002,626738.957669729,10861335.6401321,8975354,629247,0,0,1630108.64013214,167729,560688,5837,416138.25,41213,83837,0,62877.75,49081,336133,146304,149612.1
Lingewaal,673758,645709.797685868,29363.511861754,765491,746949,18542,26361,26108,253,386650.363424332,122584.210323614,239584.0250832,239793,122584,0,0,-10552.9749167998,18563,21127,0,15845.25,0,0,0,0,3465,20930,0,16811.4
De Ronde Venen,2729656,2628955.70247653,106033.623960995,2764319,2628902,135417,132418,130106,2312,1204507.54422251,379679.142397412,1576936.84049806,715443,336395,0,0,301126.886055629,41367,126264,0,94698,6745,0,0,0,37177,194931,16753,134890.95
Tytsjerksteradiel,3453727,3418276.2163084,42197.8463463628,3875899,3844689,31210,117972,504,117468,1975778.81709762,329924.161909046,3268193.34189808,2846118,329924,6620,0,408126.341898076,108658,287245,3952,212469.75,20908,117643,14702,77205.75,75720,507048,47011,351175.05
Aalburg,488590,468767.643501987,20778.1860727299,631963,593280,38683,6136,6136,0,311108.297671955,159461.826616722,412707.964049681,363547,137479,36884,0,70909.9640496806,14007,23557,0,17667.75,12290,38547,0,28910.25,1060,24466,1977,19168.95
Asten,1288860,1255877.34984142,35500.5646609419,1799011,1770331,28680,55131,54636,495,583586.627807927,168579.740648728,670516.402739285,678162,168582,2250,0,-21410.5972607146,18395,125393,220,93879.75,28934,22961,0,17220.75,1020,77548,92035,-8105.25
Baarle-Nassau,583102,547544.710108438,36696.2046648936,755884,736186,19698,29519,29519,0,249273.024037405,69023.8679984178,370536.581081017,181772,68878,0,0,62318.2560093514,13969,47497,0,35622.75,9846,31426,0,23569.5,8757,253271,86733,125895.45
Bergen op Zoom,13974542,12907151.2201664,1094695.7320156,14465097,13435733,1029364,539658,533871,5787,7141735.21370757,895119.486452378,9842594.53435718,7457656,895119,0,0,1785433.80342689,166548,645566,8930,477477,37378,179495,447,134286,62279,354024,103730,196799.85
Best,3460268,3332808.64947286,134220.897684987,4260760,4119723,141037,46166,46166,0,1354451.46021566,268470.349075685,1832516.07775173,1897926,268470,0,0,-104353.922248268,42136,227390,15258,159099,7544,48954,0,36715.5,16444,161922,37181,99317.7
Boekel,488576,489531.087090555,0,667839,666279,1560,23911,23911,0,234021.040834744,109162.000987309,318054.671169545,295918,107556,1517,0,13173.6711695448,7307,66139,0,49604.25,5108,8747,0,6560.25,8403,67877,66897,2513.55
Boxmeer,2204844,2100424.55030431,108726.845511478,2583055,2476408,106647,115921,113477,2444,1246783.20379971,294586.413965,1800712.83072523,1668095,294586,2438,0,125485.830725227,84612,246562,3858,182028,6383,0,0,0,69909,475367,293751,142270.2
Boxtel,3332759,3102659.4420173,236611.821268831,3392867,3180518,212349,79482,79482,0,1948059.43935286,369367.863034183,1817178.48277704,1957441,369368,42529,0,-95041.5172229649,43402,163059,16042,110262.75,11681,38052,0,28539,10033,43255,24793,17055.3
Breda,45883418,44139957.3684283,1833110.14471979,47639806,45761798,1878008,1719951,1653311,66640,19046229,,31946833.594669,26623603,0,0,0,5798891.59466904,290716,1215156,24540,892962,74890,175734,5362,127779,149714,614113,332962,257299.35
Deurne,3294122,3130447.02066542,170109.499669727,3628347,3490544,137803,94436,92735,1701,1629960.18665124,359196.201342584,2275171.67892208,1593891,359196,0,0,407490.046662809,67097,218601,4036,160923.75,26668,103774,0,77830.5,154092,264699,366522,-69515.25
Pekela,3350065,3317971.31851022,38638.8165171558,4001798,3964379,37419,128206,126276,1930,2079057.79506059,201146.124768183,2208566.94230903,2144686,201146,8950,0,-190189.057690973,47648,172831,0,129623.25,0,0,0,0,6572,139356,11208,100203.9
Dongen,2347023,2236469.41467794,115139.162287235,2538679,2405961,132718,78514,76547,1967,1242631.116796,335261.149116965,1642246.76858655,1317520,335261,0,0,310657.779199,36096,133138,0,99853.5,12139,22137,0,16602.75,89997,104629,140335,-25531.5
Eersel,936456,782939.465772359,14049.3763547504,921607,894503,27104,45623,45623,0,530655.303447692,161419.581554772,796707.872674344,704398,161420,0,0,92309.8726743436,50413,68044,0,51033,11235,0,0,0,8858,191001,95838,72290.25
Eindhoven,72772632,69646149.0411414,3268669.98812566,74394349,70937527,3456822,2575037,2562086,12951,25311142,,44529514.8705297,33506666,0,0,0,7909731.875,513754,2148574,29643,1589198.25,61156,188833,1070,140822.25,253093,3985309,877214,2333188.2
Etten-Leur,5639643,5447856.83176554,202805.282049593,6100454,5804677,295777,170190,161190,9000,2643115.66556939,472268.017545688,3650641.51928105,3058901,475959,9613,0,581321.519281052,52345,272516,1985,202898.25,13537,11640,422,8413.5,74862,116161,45161,61146.9
Geertruidenberg,1877732,1814229.37232104,67171.6859826553,2678056,2593995,84061,88798,88798,0,1082816.76378624,263339.142568556,1597247.76053496,1326543,263339,0,0,244906.760534964,27489,141563,0,106172.25,3176,36593,0,27444.75,14347,140911,51113,64999.2
Gilze en Rijen,2460105,2404815.09224499,60096.0679065317,2836652,2770630,66022,66181,65191,990,1099182.58019368,306995.092797164,780691.471468125,1110765,306347,67233,0,-263487,56100,162039,500,121154.25,4746,29305,0,21978.75,24540,30964,79339,-35550.3
Goirle,2070609,1953282.0906614,121372.011800736,2485223,2386742,98481,72438,70675,1763,861171.07642711,225705.152358745,1291465.62906492,933416,225705,0,0,215292.769106778,40443,145498,2105,107544.75,3752,11885,0,8913.75,3833,76627,8886,52224.9
Grave,1035511,984053.777235334,53480.0315357809,1297626,1230299,67327,23278,23278,0,677234.071475814,134839.856722326,1013680.05807796,626975,134840,0,0,169308.517868953,25488,118892,0,89169,10838,63061,0,47295.75,5102,51335,15997,27228
Haaren,501511,480960.126269078,21531.2210042248,540244,524351,15893,9720,9720,0,340660.023238098,118583.14236792,472353.158288866,455260,118583,1226,0,16529.1582888659,19536,35579,185,26545.5,4764,3489,0,2616.75,26366,292016,76048,164720.55
Helmond,25677020,24799749.2223699,927439.519292421,29553508,28480602,1072906,695649,695649,0,10316708,,14913339.9259935,11850552,0,0,0,3024259.92599351,189640,643690,8425,476448.75,34650,190496,2806,140767.5,147108,1003708,394114,479472.9
's-Hertogenbosch,36266448,34997555.6505355,1339751.00292694,37410102,35819908,1590194,1170808,1094147,76661,15498461,,27966708.7971628,20461462,0,0,0,4843269.0625,282249,1189440,3431,889506.75,38632,145680,517,108872.25,233175,609375,96857,395973.15
Heusden,4894104,4749917.54803307,153747.663388469,4822504,4575853,246651,169939,154864,15075,2075348.93650322,507996.491479934,1994561.5569431,1651636,507996,0,0,240343.556943096,5730,118765,898,88400.25,17845,53894,0,40420.5,65779,119569,68447,43141.8
Hilvarenbeek,624135,505646.881645228,61933.1821113864,625247,573659,51588,36374,36374,0,369063.288800413,134521.377310091,533190.362697088,266432,134521,0,0,92265.8222001031,39061,54573,0,40929.75,2036,19836,0,14877,2700,15711,88360,-53869.8
Lith,333188,332324.383258268,1514.5581794479,374592,374592,0,9287,9287,0,189533.148238548,69487.7078034589,273913.775067741,179875,69488,9550,9550,47383.287059637,23465,51314,0,38485.5,61,0,0,0,774,1609,19508,-13182.9
Loon op Zand,1589901,1498260.02101167,94746.5883050293,1952220,1876816,75404,57607,53680,3927,845623.88781345,294347.774147684,717409.185438924,598528,293726,0,0,68223.1854389238,22873,101669,1315,75265.5,5583,87622,0,65716.5,1048,103392,37010,51468.15
Mill en Sint Hubert,611029,610139.041050281,2084.4879987758,931611,926413,5198,8259,8259,0,360721.653241187,128437.729585305,523218.82639296,467636,128438,0,0,43771.8263929602,24190,43762,0,32821.5,1145,14356,0,10767,0,30554,38213,-3586.2
"Nuenen, Gerwen en Nederwetten",2556072,2488688.0397267,72377.4492047288,3276292,3194265,82027,28622,27327,1295,932083.84617282,204364.656162936,1402097.77967202,1193997,204365,0,0,230907.77967202,41365,181594,201,136044.75,6530,15202,0,11401.5,25858,137677,28907,84295.35
Oirschot,764371,664634.130759988,61044.3341165623,812999,766979,46020,36184,36184,0,492874.319532429,158173.450827813,745963.281164655,662288,158173,0,0,83675.2811646552,24603,119398,0,89548.5,10577,31689,0,23766.75,0,259572,73518,140816.25
Oisterwijk,1850739,1759022.551868,95332.2821406364,2106713,1977245,129468,41900,41900,0,1007446.78101243,253682.926999161,1366750.80178273,1155324,255488,39992,0,251418.801782725,35865,169634,2724,125182.5,12467,35270,0,26452.5,7601,251235,34828,163581
