Gemeente,WWB Budget Definitief,,W.v. budget 65+ Definitief,Uitgaven Definitief,W.v. uitgaven 65- Definitief,W.v. uitgaven 65+ Definitief,WWB Budget Ontvangsten Definitief,W.v. ontvangsten 65- Definitief,W.v. ontvangsten 65+ Definitief,Participatiebudget Budget Definitief,w.v. Educatiemiddelen Definitief,Participatiebudget Beschikbaar Voorlopig,Participatiebudget Lasten Definitief,w.v. besteding bij ROCs Definitief,Participatiebudget Baten Definitief,w.v. bij ROCs Definitief,Reserveringsregeling Voorlopig,IOAW Budget Definitief,,IOAW Ontvangsten Definitief,IOAW Rijksvergoeding Voorlopig,IOAZ Budget Definitief,IOAZ Uitgaven Definitief,IOAZ Ontvangsten Definitief,IOAZ Rijksvergoeding Voorlopig,Bbz Budget Definitief,Bbz Uitgaven Voorlopig,Bbz Ontvangsten Voorlopig,Bbz Rijksvergoeding Voorlopig
Nijefurd,1251719,1177212.79683062,35137.9922865185,1554101,1520404,33697,55147,55147,0,674527.926443419,106432.602199882,1073344.90818894,914300,107638,4982,0,152892.90818894,19005,37925,0,28443.75,10230,18755,4220,10901.25,26067,176295,69992,82303.2
Assen,18573269,18141645.6937438,467913.594284818,19619878,19118053,501825,450039,449210,829,8328714.56012807,597168.294237442,12347990.1276058,10939770,597169,0,0,1408220.12760579,116891,462965,4648,343737.75,12043,34008,1689,24239.25,178971,1659378,535825,886900.05
Coevorden,6696934,6524732.77080179,185286.609496764,8349552,8166499,183053,315194,302506,12688,3406081.92960688,390279.888934478,3330156.26655889,3538574,390280,10169,0,-198248.733441107,94163,380641,5907,281050.5,40802,109196,0,81897,83988,199450,58539,109386.6
Emmen,30089244,29503326.6781967,644707.03685696,34069616,33244864,824752,1064486,997598,66888,13102976,,14575033.8213699,10471695,0,0,0,2758213.82136985,569049,1764527,0,1323395.25,81547,267337,0,200502.75,209519,1271155,304576,749028.45
Hoogeveen,12284874,11926771.2014767,382106.415826778,14073272,13742375,330897,1898801,1898801,0,6291828.90816026,761052.035279927,6324201.6835014,6684074,737325,99378,0,-284221.316498604,214105,851749,140342,533555.25,40373,262784,29074,175282.5,60885,582565,192845,303632.1
Meppel,5621007,5519414.49714152,112574.47810026,6460592,6350382,110210,154092,154092,0,3161537.76828391,339098.574510787,3235972.18447111,3149255,339099,0,0,86717.1844711118,39746,228437,1534,170177.25,13517,0,0,0,38813,260112,60566,155025
Littenseradiel,804047,604127.612542621,13567.9675499139,859498,849020,10478,55808,55808,0,462186.29054888,97682.9449124915,688498.567354956,619737,97683,14919,0,76464.5673549557,16860,61037,0,45777.75,5735,0,0,0,24695,72803,61834,10157.7
Almelo,25048831,23262711.982317,1835060.03227187,28524102,26613411,1910691,859221,822351,36870,12433100,,19219081.3904482,20528644,0,1757738,0,0.3904482201,142456,698295,6682,518709.75,41845,198488,13091,139047.75,170259,531481,217701,243314.55
Borne,2067708,1706246.10020048,180225.147654478,2256029,2086049,169980,38019,34741,3278,1103317.50176875,224082.268560681,1627352.53112353,1356756,224082,19798,0,274271.531123531,50818,268674,478,201147,8820,7074,0,5305.5,7816,65248,7786,44526.75
Dalfsen,1020041,984162.955733194,37871.2301860185,1425420,1387186,38234,66164,63357,2807,705808.318051991,280870.207736977,749668.737074766,653151,344090,0,0,87072.7370747661,27730,89307,13,66970.5,23708,48352,0,36264,36575,363234,61652,229396.05
Deventer,25975489,25009155.4724848,1017084.62940615,25020327,23986337,1033990,733445,733445,0,10744623,,12404131.2458213,12416298,0,1878141,0,1865974.24582129,207303,511004,5873,378848.25,40650,70318,693,52218.75,217737,1514280,439043,825761.1
Enschede,59637600,56413840.8241034,3340282.27623252,70211947,66524594,3687353,2485669,2323075,162594,27591561,,38839226.6616197,32234442,974828,822307,0,6657510.66161968,353610,1559764,27904,1148895,73216,263447,0,197585.25,642485,4357869,677097,2834745.15
Haaksbergen,2155431,1964590.52881047,195050.598656824,2932696,2764713,167983,95128,94690,438,1074716.31498378,242558.268434836,1117204.06343579,1144418,242558,27215,0,-19557.9365642103,61623,157522,650,117654,11644,42715,518,31647.75,8665,302298,102939,153429.6
Hardenberg,6056407,5884103.34821349,184137.048925013,6354493,6166130,188363,395173,395173,0,3140479.11629615,702469.198104326,2814224.50275355,2911985,702469,0,0,-241760.49724645,88994,382681,6944,281802.75,17125,88854,550,66228,109710,594727,188190,312742.8
Hellendoorn,3232609,3113140.48206984,125784.723742298,3719470,3596876,122594,124839,124839,0,1700137.90320541,372251.251367589,2196877.12106523,1847919,372251,197626,0,425034.475801354,59097,179579,532,134285.25,41292,77316,0,57987,8616,375114,37298,256066.8
Hengelo,22365085,20819151.6907506,1589631.27543638,23943183,22398928,1544255,1329370,1223020,106350,10053250,,17803025.8587089,14834864,510208,579156,0,3141640.625,190500,621484,11631,457389.75,34323,47205,299,35179.5,228151,2245866,358917,1424190.6
Kampen,7027859,6856961.34082285,184629.371279582,6794729,6591742,202987,371191,371191,0,3743148.06935957,585475.517372015,5963481.87106978,3372384,551459,100249,0,935787.017339892,65322,248392,0,186294,21060,85676,0,64257,67083,893341,269973,473521.8
Losser,1917401,1781364.30067011,86460.7788253115,2805639,2710269,95370,76714,73736,2978,1062944.32087018,254441.014668742,1527817.83587219,1381278,254441,69539,0,251143.835872186,32686,172374,0,129280.5,12377,32009,0,24006.75,20251,303159,36997,209271.75
Noordoostpolder,6858799,6582374.20401732,289825.077144501,6899953,6608802,291151,149646,142555,7091,3386626.59407556,468287.943526072,5342291.27663481,4651223,468288,82458,0,773526.276634807,48018,149985,1513,111354,16960,108151,226,80943.75,122045,875244,455858,334874.1
Oldenzaal,5080810,4681199.9134105,409537.016769365,5773299,5366650,406649,189343,179143,10200,2602070.6290309,342172.000699234,4324221.03455336,3439886,722544,27580,0,650517.657257726,93047,334452,0,250839,20304,51687,0,38765.25,64344,394688,63998,252555.6
Ommen,1068013,1019725.48401564,50374.5203287625,1428045,1364880,63165,70718,70718,0,617434.445101672,177440.619182759,810652.704108148,771351,177441,0,0,23088.7041081476,17835,124375,0,93281.25,1058,0,0,0,5354,70128,13232,44912.1
Raalte,3426864,3310048.86801825,123511.067548171,3158629,3042280,116349,215099,211082,4017,1336877.07504444,337796.159790881,1576110.61644553,1855964,337796,15879,0,0,52630,206580,1078,154126.5,28532,30642,0,22981.5,18959,421689,65245,272747.85
Staphorst,584959,570883.025575994,15218.338792691,724083,709551,14532,26069,26069,0,367623.343505313,178719.557433835,375690.006057847,462610,178448,2385,0,-91905.8358763282,22125,125770,3619,91613.25,0,19256,0,14442,2740,12504,9670,4001.1
Tubbergen,736233,737671.698504004,0,1031962,1014397,17565,37212,34129,3083,542571.257886771,182935.682805547,517978.833267651,505663,177232,20375,0,10737.8332676507,7051,87358,0,65518.5,21930,30835,0,23126.25,13479,172876,140853,26695.5
Urk,950821,892352.742287712,47498.193666112,947240,928513,18727,41056,40666,390,683669.481465992,222633.548582818,1004407.63983178,862857,222634,3313,0,144863.639831783,8893,46181,0,34635.75,8372,16752,0,12564,77359,1449875,175576,966987.9
Wierden,1433964,1370135.95430261,66629.6463459754,1901125,1829613,71512,41726,41726,0,782439.596721904,247337.446559455,1100641.42994894,758584,289120,0,0,195609.899180476,77746,166912,0,125184,18148,105882,0,79411.5,0,171894,72538,76011.6
Zwolle,32125919,31072412.9737974,1116274.24506866,33450154,32331180,1118974,1727285,1685209,42076,11702563,,21174843.0645786,14988984,0,87803,0,3657050.9375,163108,739105,13756,544011.75,42008,77082,1610,56604,150697,1357810,403140,758891.35
Rijnwaarden,1246019,1233346.06155686,15107.990678736,1541978,1532414,9564,57120,56480,640,721747.258183027,153587.282514149,1101372.47502346,1049309,153587,7461,0,59524.4750234624,11231,93168,0,69876,4346,0,0,0,24904,73860,9014,51022.95
Aalten,2085508,1958053.4211757,103780.582249694,2211239,2146220,65019,121488,121188,300,1287811.16132415,326775.233905029,1723578.84362447,1720606,326775,149106,0,140200.843624472,47697,153481,526,114716.25,34899,87411,0,65558.25,0,78895,33340,36357
Apeldoorn,30214618,29309350.4765899,964301.852436565,33440393,32358232,1082161,1500613,1458703,41910,14854792.1277419,1726130.31872945,22517399.7057597,18267194,1991046,108726,0,3665489.70575967,260894,887904,8094,659857.5,58898,298096,10148,215961,91789,1509765,249852,966350.55
Arnhem,71935752,69411828.8210259,2664474.04787318,74737486,71754411,2983075,3879910,3753225,126685,31313736,,52746921.4386297,41405465,0,59000,0,9785542.5,258556,1468397,45023,1067530.5,52987,151089,-400,113616.75,378572,4078887,551845,2729631.15
