"Divisie","FAO Code","omschrijving","totaal","jaar","type"
"Ministerie van Volksgezondheid Welzijn en Sport","1302","in t kort",236,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1303","Historie",1378,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1304","Uitreksels EGU",1537.5,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1305","Deponeringen",834.75,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1306","Bedrijfsprofiel Uittreksels",30877.8,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1307","Bedrijfsprofiel concernrelaties",15078.5,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1330","Inzien jaarrekening",375.15,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1331","Gewaarmerkte jaarrekening",7.5,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1332","VRIS",427.9,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1333","Bedrijfsprofiel jaarrekening",16343.55,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1340","KvK adressen internet",3.32,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1350","Overig online",173.6,"2016","Ministerie"
"Ministerie van Volksgezondheid Welzijn en Sport","1360","Dataservices",872426.4,"2016","Ministerie"
"Ministerie van Financien","1240","Adressen",12233.86,"2016","Ministerie"
"Ministerie van Financien","1250","Mutatieabonnementen",29048.69,"2016","Ministerie"
"Ministerie van Financien","1300","Uittreksels online (inzage)",1084823.85,"2016","Ministerie"
"Ministerie van Financien","1301","Concernrelaties",22262.65,"2016","Ministerie"
"Ministerie van Financien","1302","in t kort",2072.5,"2016","Ministerie"
"Ministerie van Financien","1303","Historie",22648,"2016","Ministerie"
"Ministerie van Financien","1304","Uitreksels EGU",952.5,"2016","Ministerie"
"Ministerie van Financien","1305","Deponeringen",29881.4,"2016","Ministerie"
"Ministerie van Financien","1306","Bedrijfsprofiel Uittreksels",212663.85,"2016","Ministerie"
"Ministerie van Financien","1307","Bedrijfsprofiel concernrelaties",83424.65,"2016","Ministerie"
"Ministerie van Financien","1330","Inzien jaarrekening",15698.35,"2016","Ministerie"
"Ministerie van Financien","1331","Gewaarmerkte jaarrekening",187.5,"2016","Ministerie"
"Ministerie van Financien","1332","VRIS",6188.2,"2016","Ministerie"
"Ministerie van Financien","1333","Bedrijfsprofiel jaarrekening",123923.7,"2016","Ministerie"
"Ministerie van Financien","1350","Overig online",22475.5,"2016","Ministerie"
"Ministerie van Financien","1360","Dataservices",5253.85,"2016","Ministerie"
"Provincies","1240","Adressen",181517.16,"2016","Provincies"
"Provincies","1250","Mutatieabonnementen",109247.13,"2016","Provincies"
"Provincies","1300","Uittreksels online (inzage)",18534.1,"2016","Provincies"
"Provincies","1301","Concernrelaties",2432.7,"2016","Provincies"
"Provincies","1302","in t kort",391.5,"2016","Provincies"
"Provincies","1303","Historie",469.05,"2016","Provincies"
"Provincies","1304","Uitreksels EGU",1567.5,"2016","Provincies"
"Provincies","1305","Deponeringen",238.5,"2016","Provincies"
"Provincies","1306","Bedrijfsprofiel Uittreksels",8962.3,"2016","Provincies"
"Provincies","1307","Bedrijfsprofiel concernrelaties",5045.6,"2016","Provincies"
"Provincies","1330","Inzien jaarrekening",2360.7,"2016","Provincies"
"Provincies","1332","VRIS",878.95,"2016","Provincies"
"Provincies","1333","Bedrijfsprofiel jaarrekening",6882.5,"2016","Provincies"
"Provincies","1350","Overig online",294.2,"2016","Provincies"
"Provincies","1360","Dataservices",2128709.6,"2016","Provincies"
"Ministerie van Sociale Zaken en Werkgelegenheid","1240","Adressen",759784.46,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1250","Mutatieabonnementen",1743062.93,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1300","Uittreksels online (inzage)",86535.25,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1301","Concernrelaties",943.4,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1302","in t kort",280,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1303","Historie",1927.25,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1304","Uitreksels EGU",1252.5,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1305","Deponeringen",620.6,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1306","Bedrijfsprofiel Uittreksels",23149.65,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1307","Bedrijfsprofiel concernrelaties",8307.75,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1330","Inzien jaarrekening",780.8,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1332","VRIS",169.05,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1333","Bedrijfsprofiel jaarrekening",12489.15,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1340","KvK adressen internet",288.17,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1350","Overig online",278.45,"2016","Ministerie"
"Ministerie van Sociale Zaken en Werkgelegenheid","1360","Dataservices",581088.8,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1240","Adressen",1371831.94,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1250","Mutatieabonnementen",202267.63,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1300","Uittreksels online (inzage)",102732.55,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1301","Concernrelaties",686.35,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1302","in t kort",1390,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1303","Historie",842.7,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1304","Uitreksels EGU",1582.5,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1305","Deponeringen",103.35,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1306","Bedrijfsprofiel Uittreksels",5753.15,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1307","Bedrijfsprofiel concernrelaties",1666.85,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1330","Inzien jaarrekening",439.2,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1331","Gewaarmerkte jaarrekening",30,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1332","VRIS",190.05,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1333","Bedrijfsprofiel jaarrekening",2514.05,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1340","KvK adressen internet",6.92,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1350","Overig online",86.8,"2016","Ministerie"
"Ministerie van Infrastructuur & Milieu","1360","Dataservices",2712152.8,"2016","Ministerie"
"Ministerie van Economische Zaken","1240","Adressen",377336.91,"2016","Ministerie"
"Ministerie van Economische Zaken","1250","Mutatieabonnementen",70489.86,"2016","Ministerie"
"Ministerie van Economische Zaken","1300","Uittreksels online (inzage)",328978.95,"2016","Ministerie"
"Ministerie van Economische Zaken","1301","Concernrelaties",1404.5,"2016","Ministerie"
"Ministerie van Economische Zaken","1302","in t kort",2285.5,"2016","Ministerie"
"Ministerie van Economische Zaken","1303","Historie",2973.3,"2016","Ministerie"
"Ministerie van Economische Zaken","1304","Uitreksels EGU",5265,"2016","Ministerie"
"Ministerie van Economische Zaken","1305","Deponeringen",386.9,"2016","Ministerie"
"Ministerie van Economische Zaken","1306","Bedrijfsprofiel Uittreksels",43224.15,"2016","Ministerie"
"Ministerie van Economische Zaken","1307","Bedrijfsprofiel concernrelaties",8275.95,"2016","Ministerie"
"Ministerie van Economische Zaken","1330","Inzien jaarrekening",356.85,"2016","Ministerie"
"Ministerie van Economische Zaken","1331","Gewaarmerkte jaarrekening",45,"2016","Ministerie"
"Ministerie van Economische Zaken","1332","VRIS",640,"2016","Ministerie"
